participant,group,orientation,region,view size,prefers_dark,n pairs,duration,bg_mean,bg_sd,bg_median,bg_quartile,bg_box_plot,bg_bar_chart,bg_scatter_plot,bg_regression,Wasserstein spearman
P0a3ce95a23e32,prolific,vertical,Europe,large,true,100,9.18333333333331,2,2,2,3,3,3,2,3,0.203789191731227
P0c5587734b9dd8,prolific,vertical,Central/South America,large,true,100,37.6833333333334,3,2,3,2,3,3,3,2,0.51706303609052
P0f6da16be5a918,prolific,vertical,Europe,large,true,100,7.13333333333333,3,3,3,3,2,3,3,2,0.399209125982381
P00a257bd877848,self,vertical,North America,large,false,95,5.16666666666667,3,3,2,1,3,3,3,3,0.698034235069196
P012f371bf6346,prolific,vertical,Europe,large,false,100,6.3,2,2,2,2,2,2,2,2,0.395702678386532
P04420696d7c008,friends,vertical,Europe,large,false,95,5.06666666666666,3,3,3,3,3,3,3,3,0.487716825633841
P07bc38936986f,prolific,vertical,Asia,large,false,100,8.58333333333335,3,3,2,2,2,3,3,2,0.375774574073145
P1b4a21818fe3e,friends,horizontal,Europe,small,true,85,,3,3,3,3,3,3,3,3,0.559144492971124
P1d3fb39d0db9d8,friends,horizontal,North America,large,false,32,,3,3,3,3,3,3,3,3,0.738766455052307
P1d9f4a078325e,friends,vertical,North America,small,true,95,12.0166666666667,3,3,3,3,3,3,3,3,0.6210870851625
P1fae421d0d9698,prolific,vertical,Africa,small,true,100,11.3,2,2,1,2,3,3,2,3,-0.0537282138450867
P2b300934f58ff,prolific,vertical,Europe,small,false,100,5.31666666666667,2,2,2,2,2,3,2,2,0.290453626803239
P3a9bb168ee33c,prolific,vertical,Europe,small,true,100,7.60000000000001,3,2,2,1,1,3,2,1,0.247476323183565
P3ac29875452c8,prolific,vertical,Africa,large,true,100,13.2666666666667,3,3,3,3,2,3,3,3,0.08342031194433
P3c14f2832f1a38,prolific,vertical,Asia,small,false,100,4.58333333333333,3,3,3,3,3,3,2,3,0.0438813352108894
P3f2b314cbea54,prolific,vertical,Africa,large,false,100,11.45,2,2,3,2,2,3,2,2,0.0692261252979109
P3f26e4322dd83,prolific,vertical,Africa,large,true,100,22.35,3,3,3,2,2,3,2,3,0.0721198637025884
P4ab8309d3923d,self,vertical,North America,large,false,95,16.75,2,2,3,1,3,3,3,3,0.580329494428419
P4b447d8ea57008,self,vertical,North America,large,false,100,12.5833333333333,3,3,3,3,3,3,3,3,0.551219702374018
P4b453ba72a5ff8,prolific,vertical,North America,large,false,100,4.10000000000001,3,3,3,3,3,3,3,3,0.746896694138188
P4bf9ac79c2253,prolific,vertical,Africa,large,false,100,7,3,2,2,2,2,2,2,3,-0.0292864553802717
P4c1cb70ba1b0d8,prolific,vertical,Europe,large,false,100,8.5,2,2,2,2,2,2,2,2,0.318406049893952
P4c33ca9290579,,,,,,35,,,,,,,,,,0.0112280041308084
P4eef3e55d6dde,prolific,vertical,Africa,large,false,100,3.83333333333333,2,3,3,3,3,3,3,2,0.00591589333215599
P5a589291069df8,friends,vertical,North America,large,false,95,14.5333333333333,2,2,2,2,2,3,3,1,0.543920762359704
P5d93cc1bb85f3,prolific,vertical,Africa,small,false,100,11.8166666666667,2,2,3,3,3,3,3,2,0.0416853418022991
P5f5b1588757ed,friends,vertical,North America,large,false,100,5.06666666666666,3,3,3,3,3,3,3,3,0.647389095629073
P5f13d6a83561c,prolific,vertical,Asia,large,false,100,21.2,3,3,3,3,2,3,3,2,0.355004662036908
