participant,trial_index,chart category,chart name,has dots,has median,jitter,group,response time (s),rating,location pvalue,spread pvalue,nonnormality pvalue,Kolmogorov-Smirnov distance,Wasserstein distance,Wasserstein spearman
P0a3ce95a23e32,0,Violin,violin plot with median,0,1,wilkinson,prolific,,1,0.642615340620687,0.47145715646297,0.00828726734673282,0.16,0.133965244865719,0.203789191731227
P0a3ce95a23e32,1,Dot,dot plot,1,0,wilkinson,prolific,9.711,1,0.206050136149283,0.0354702935239455,0.223878310163657,0.16,0.285035971223022,0.203789191731227
P0a3ce95a23e32,2,Bands,density bands 50-90-99,0,0,wilkinson,prolific,4.449,1,0.0791168502647126,0.146118131699366,0.00521580643505214,0.36,0.33811623246493,0.203789191731227
P0a3ce95a23e32,3,Violin,violin plot with box,0,0,wilkinson,prolific,4.927,1,0.825879845077692,0.408787285293979,0.917228927315006,0.1,0.107391304347826,0.203789191731227
P0a3ce95a23e32,4,Dot,dot plot with median,1,1,beeswarm,prolific,6.326,1,0.397241147716174,0.213475566058464,0.295596632062342,0.18,0.159190556492411,0.203789191731227
P0a3ce95a23e32,5,Dot,dot plot,1,0,density random,prolific,4.888,3,0.491662504785527,0.000000281345672537014,0.00000486252000952756,0.32,0.26295719844358,0.203789191731227
P0a3ce95a23e32,6,Violin,violin plot with median,0,1,wilkinson,prolific,3.975,2,0.130850245841319,0.000732258009922049,0.309222698642259,0.24,0.38943143812709,0.203789191731227
P0a3ce95a23e32,7,Violin,violin plot with box,0,0,beeswarm,prolific,9.287,2,0.488735660109569,0.314693122169668,0.209833846161322,0.14,0.163976143141153,0.203789191731227
P0a3ce95a23e32,8,Box,box plot with dots,1,1,beeswarm,prolific,4.054,1,0.380365786457152,0.120900677531958,0.485348780134994,0.18,0.212870662460568,0.203789191731227
P0a3ce95a23e32,9,Violin,violin plot with dots,1,0,random,prolific,8.042,1,0.955416850767913,0.197936082237876,0.0678590306506006,0.16,0.162211055276382,0.203789191731227
P0a3ce95a23e32,10,Bands,density bands 50-90-99,0,0,beeswarm,prolific,7.161,1,0.246720921423313,0.00577996113874191,0.539401140009602,0.22,0.2746699875467,0.203789191731227
P0a3ce95a23e32,11,Box,box plot with dots,1,1,density random,prolific,5.993,2,0.0000000757999165656997,0.433824331880943,0.51860025274709,0.46,0.71202492211838,0.203789191731227
P0a3ce95a23e32,12,Violin,violin plot with median,0,1,wilkinson,prolific,4.172,1,0.375384122708861,0.742012146851538,0.0581645751478685,0.12,0.162932790224033,0.203789191731227
